DMM,PCB,,,,
0.999093,31.6616,,,,
0.997524,31.6652,,,,
0.997648,31.6637,,,,
0.995916,31.6628,,,,
0.996409,31.6616,,,,
0.996527,31.661,,,,
0.996249,31.6615,,,,
0.995988,31.6215,,,,
0.995806,31.6581,,,,
0.995648,31.6604,,,,
1.971013,31.6617,,,,
1.971099,31.6621,,,,
1.972647,31.6581,,,,
1.971784,31.6604,,,,
1.972108,31.6587,,,,
1.972061,31.6585,,,,
1.972341,31.6578,,,,
1.972558,31.6572,,,,
1.973380,31.6558,,,,
1.972725,33.6198,,,,
1.973383,33.6291,,,,
1.972576,33.6335,,,,
1.972451,33.6335,,,,
1.972141,33.6339,,,,
1.973264,33.6307,,,,
1.973409,33.6319,,,,
1.973317,33.6306,,,,
4.902795,33.6302,,,,
4.915447,33.6282,,,,
4.916319,33.6273,,,,
4.917897,33.6264,,,,
4.917611,33.6286,,,,
4.917772,33.6271,,,,
4.917632,33.626,,,,
4.918391,33.625,,,,
4.918451,33.622,,,,
4.918466,33.6239,,,,
4.918725,33.62,,,,
4.918320,33.6207,,,,
4.918811,35.5842,,,,
4.919326,35.5861,,,,
4.918647,35.5857,,,,
4.920014,35.5857,,,,
4.919258,35.5861,,,,
4.919430,35.5837,,,,
4.919356,35.5837,,,,
3.937912,35.5835,,,,
3.933386,31.5816,,,,
,35.5814,,,,
,35.5781,,,,
,35.5764,,,,
,35.5772,,,,
,35.5774,,,,
,35.5745,,,,
,35.5726,,,,
,35.5705,,,,
,35.5711,,,,
,35.5682,,,,
,35.5666,,,,
,38.5976,,,,
,38.6026,,,,
,38.6003,,,,
,38.6032,,,,
,38.6015,,,,
,38.6029,,,,
,38.6003,,,,
,38.5998,,,,
,38.6009,,,,
,38.5992,,,,
,38.5975,,,,
,38.5992,,,,
,38.5982,,,,
,38.5974,,,,
,38.5994,,,,
,38.5982,,,,
,38.5981,,,,
,38.597,,,,
,38.5964,,,,
,38.5953,,,,
,1.145,,,,
,1.0533,,,,
,1.041,,,,
,1.0363,,,,
,1.0346,,,,
,1.0319,,,,
,1.0308,,,,
,1.0313,,,,
,1.029,,,,
,1.0289,,,,
,1.0286,,,,
,1.0288,,,,
,1.0288,,,,
,1.0286,,,,
,1.0282,,,,
,1.0273,,,,
,1.028,,,,
,1.0279,,,,
,1.0275,,,,
,1.0475,,,,
,2.008,,,,
,2.0082,,,,
,2.0075,,,,
,2.0099,,,,
,2.0095,,,,
,2.0093,,,,
,2.0104,,,,
,2.0103,,,,
,2.0095,,,,
,2.0092,,,,
,2.0103,,,,
,2.0097,,,,
,2.0091,,,,
,2.0104,,,,
,2.0101,,,,
,2.0097,,,,
,2.0093,,,,
,2.0103,,,,
,2.0107,,,,
,2.0109,,,,
,2.0109,,,,
,2.0101,,,,
,4.9614,,,,
,4.9665,,,,
,4.9668,,,,
,4.9674,,,,
,4.9687,,,,
,4.9687,,,,
,4.9682,,,,
,4.9689,,,,
,4.9695,,,,
,4.97,,,,
,4.9698,,,,
,4.9697,,,,
,4.9696,,,,
,4.9704,,,,
,4.9702,,,,
,4.9706,,,,
,4.9702,,,,
,4.9701,,,,
,4.9705,,,,
,4.9707,,,,
,4.9708,,,,
,4.9705,,,,
,4.9706,,,,
,4.0269,,,,
,3.9808,,,,
,3.98,,,,
,3.9797,,,,
,3.9791,,,,
